x,y
717.6341463414634,135.85365853658539
714.34375,135.953125
717.1428571428571,136.07142857142856
723.0,136.3888888888889
721.140350877193,136.96491228070175
720.28,138.32
717.96,140.86
715.825,146.05
713.8823529411765,148.7450980392157
711.8867924528302,151.32075471698113
709.328125,155.765625
706.82,159.16000000000008
703.9032258064516,162.8709677419355
701.5263157894736,165.76315789473682
698.0185185185185,171.05555555555554
695.3170731707318,174.85365853658539
692.5,178.5
689.8648648648649,182.2972972972973
685.34375,188.53125
682.6333333333333,192.63333333333333
679.5,197.0
676.4137931034483,201.58620689655174
671.3225806451613,208.64516129032256
667.875,213.33333333333331
664.3461538461538,218.5769230769231
660.5333333333333,223.7
655.04,231.76
651.0,237.5
646.96,243.24
642.8571428571429,248.8571428571429
636.0869565217391,258.3913043478261
631.8181818181819,264.5909090909091
626.8571428571429,270.8571428571429
622.1111111111111,277.8888888888889
614.6315789473684,288.42105263157896
609.6315789473684,295.42105263157896
604.2352941176471,302.88235294117646
598.5294117647059,310.7058823529412
589.9090909090909,322.5909090909091
584.1,330.65
577.95,339.15
571.7368421052631,347.5263157894737
562.2352941176471,360.88235294117646
555.8888888888889,370.0
549.1176470588235,379.11764705882354
542.8125,387.8125
532.7647058823529,401.7058823529411
525.8,411.06666666666666
519.375,419.8125
508.8888888888889,434.0
501.75,443.3
494.8421052631579,453.1578947368421
487.8333333333333,462.3888888888889
477.38461538461536,477.0
