x,y
717.6341463414634,344.1463414634146
714.34375,344.046875
717.1428571428571,343.92857142857144
723.0,343.6111111111111
721.140350877193,343.03508771929825
720.28,341.68
717.96,339.14
715.825,333.95
713.8823529411765,331.2549019607843
711.8867924528302,328.6792452830189
709.328125,324.234375
706.82,320.84
703.9032258064516,317.1290322580645
701.5263157894736,314.2368421052632
698.0185185185185,308.94444444444446
695.3170731707318,305.1463414634146
692.5,301.5
689.8648648648649,297.7027027027027
685.34375,291.46875
682.6333333333333,287.3666666666667
679.5,283.0
676.4137931034483,278.41379310344826
671.3225806451613,271.35483870967744
667.875,266.6666666666667
664.3461538461538,261.4230769230769
660.5333333333333,256.3
655.04,248.24
651.0,242.5
646.96,236.76
642.8571428571429,231.14285714285714
636.0869565217391,221.6086956521739
631.8181818181819,215.4090909090909
626.8571428571429,209.14285714285714
622.1111111111111,202.11111111111111
614.6315789473684,191.57894736842104
609.6315789473684,184.57894736842104
604.2352941176471,177.11764705882354
598.5294117647059,169.2941176470588
589.9090909090909,157.4090909090909
584.1,149.35
577.95,140.85
571.7368421052631,132.4736842105263
562.2352941176471,119.11764705882354
555.8888888888889,110.0
549.1176470588235,100.88235294117646
542.8125,92.1875
532.7647058823529,78.29411764705883
525.8,68.93333333333334
519.375,60.1875
508.8888888888889,46.0
501.75,36.7
494.8421052631579,26.842105263157897
487.8333333333333,17.61111111111111
477.38461538461536,3.0
